state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,GermanyTTO,GermanyVAS,France,Italy,Japan,Korea,Malaysia,Netherlands,NewZealand,Poland,Portugal,Slovenia,Singapore,SpainTTO,SpainVAS,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
12131,0.373,0.542,0.359,0.341,0.571,0.52,0.419,0.598,0.427,0.507,0.362,0.591,0.274,0.349,0.349,0.609,0.6,0.703,0.593,0.284,0.348,0.408,0.38,0.557,0.3189,0.29,0.418,0.429,0.4183,0.197,0.329,0.613,0.16,0.366,0.427,0.506
12132,0.438,0.537,0.262,0.238,0.521,0.457,0.319,0.512,0.359,0.416,0.273,0.431,0.274,0.286,0.259,0.557,0.537,0.66,0.512,0.16,0.256,0.382,0.343,0.464,0.1688,0.228,0.366,0.385,0.3631,0.043,0.297,0.602,0.089,0.303,0.4,0.46
12133,0.222,0.451,0.154,0.135,0.476,0.24,0.147,0.393,0.06,0.325,0.233,0.395,0.209,0.164,0.145,0.439,0.488,0.545,0.507,-0.041,0.164,0.201,0.218,0.371,0.0405,0.146,0.315,0.235,0.2106,-0.085,0.219,0.474,-0.076,0.242,0.253,0.333
12211,0.803,0.658,0.755,0.734,0.642,0.746,0.664,0.782,0.775,0.599,0.728,0.697,0.912,0.658,0.632,0.858,0.75,0.853,0.783,0.815,0.711,0.851,0.544,0.725,0.583,0.771,0.694,0.658,0.8405,0.563,0.618,0.8,0.779,0.721,0.814,0.765
12212,0.772,0.606,0.658,0.631,0.592,0.683,0.564,0.696,0.707,0.508,0.639,0.537,0.912,0.538,0.542,0.806,0.687,0.81,0.702,0.691,0.619,0.825,0.507,0.632,0.4329,0.709,0.642,0.614,0.7853,0.409,0.586,0.789,0.708,0.658,0.765,0.719
12213,0.482,0.52,0.358,0.272,0.547,0.466,0.338,0.555,0.408,0.417,0.371,0.501,0.524,0.308,0.254,0.688,0.638,0.645,0.581,0.256,0.31,0.644,0.348,0.539,0.0141,0.336,0.379,0.464,0.1998,0.091,0.369,0.661,0.274,0.382,0.503,0.592
12221,0.723,0.572,0.687,0.65,0.578,0.701,0.554,0.69,0.713,0.521,0.635,0.586,0.8,0.642,0.52,0.803,0.67,0.816,0.729,0.729,0.631,0.794,0.434,0.614,0.4368,0.682,0.634,0.601,0.806,0.442,0.546,0.736,0.656,0.637,0.748,0.698
12222,0.711,0.561,0.591,0.547,0.528,0.638,0.454,0.604,0.645,0.43,0.546,0.426,0.8,0.524,0.43,0.751,0.607,0.773,0.648,0.605,0.539,0.768,0.397,0.521,0.2867,0.62,0.583,0.557,0.7508,0.288,0.514,0.725,0.585,0.574,0.678,0.652
12223,0.519,0.52,0.29,0.188,0.483,0.421,0.228,0.463,0.346,0.339,0.278,0.39,0.412,0.3,0.142,0.633,0.558,0.608,0.527,0.17,0.231,0.587,0.238,0.428,-0.1321,0.247,0.32,0.407,0.1653,-0.03,0.297,0.597,0.151,0.298,0.438,0.525
12231,0.409,0.478,0.306,0.31,0.474,0.448,0.293,0.524,0.379,0.443,0.336,0.544,0.274,0.308,0.193,0.567,0.556,0.652,0.54,0.252,0.335,0.362,0.278,0.503,0.0634,0.219,0.362,0.358,0.3171,0.112,0.27,0.57,0.124,0.335,0.416,0.463
12232,0.494,0.513,0.209,0.207,0.424,0.385,0.193,0.438,0.311,0.352,0.247,0.384,0.274,0.251,0.103,0.515,0.493,0.609,0.459,0.128,0.243,0.336,0.241,0.41,-0.0867,0.157,0.311,0.314,0.2619,-0.042,0.238,0.559,0.053,0.272,0.368,0.417
12233,0.258,0.388,0.101,0.104,0.379,0.168,0.021,0.319,0.012,0.261,0.207,0.348,0.209,0.144,-0.011,0.397,0.444,0.494,0.454,-0.073,0.151,0.155,0.116,0.317,-0.215,0.075,0.26,0.164,0.1094,-0.17,0.16,0.431,-0.112,0.211,0.242,0.29
