,Canada,China,England,Ethiopia,France,Germany,Hong_Kong,Indonesia,Ireland,Japan,Korea,Malaysia,Netherlands,Poland,Portugal,Spain,Taiwan,Thailand,Uruguay,USA,Vietnam
SC4,-0.1832,-0.21,-0.164,-0.1486,-0.172251,-0.169,-0.271,-0.248,-0.229,-0.1175,-0.078,-0.2,-0.168,-0.111,-0.156,-0.164,-0.2644,-0.1925,-0.1169,-0.220,-0.1470
SC5,-0.229,-0.253,-0.203,-0.2633,-0.258331,-0.26,-0.352,-0.316,-0.287,-0.1606,-0.122,-0.261,-0.168,-0.264,-0.294,-0.196,-0.3241,-0.2499,-0.2734,-0.261,-0.2311
UA1,-0.0195,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA2,-0.039,-0.045,-0.05,-0.0323,-0.03313,-0.036,-0.067,-0.09,-0.049,-0.0572,-0.021,-0.048,-0.039,-0.023,-0.044,-0.044,-0.0726,-0.0583,-0.0424,-0.068,-0.0464
UA3,-0.0585,-0.107,-0.063,-0.0483,-0.03979,-0.049,-0.094,-0.156,-0.072,-0.0918,-0.051,-0.064,-0.087,-0.04,-0.063,-0.048,-0.1234,-0.0712,-0.0455,-0.101,-0.0587
UA4,-0.078,-0.194,-0.162,-0.1574,-0.15689,-0.129,-0.234,-0.301,-0.154,-0.1551,-0.1,-0.155,-0.192,-0.097,-0.135,-0.135,-0.2802,-0.1535,-0.1183,-0.255,-0.1735
UA5,-0.0975,-0.233,-0.184,-0.2721,-0.24005,-0.209,-0.282,-0.385,-0.187,-0.1729,-0.175,-0.202,-0.192,-0.205,-0.263,-0.153,-0.3505,-0.2483,-0.2315,-0.255,-0.2989
PD1,-0.0444,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD2,-0.0888,-0.058,-0.063,-0.0361,-0.02198,-0.057,-0.076,-0.086,-0.068,-0.0406,-0.042,-0.081,-0.066,-0.03,-0.041,-0.078,-0.0868,-0.0564,-0.0171,-0.060,-0.0839
PD3,-0.1332,-0.138,-0.084,-0.0516,-0.04704,-0.109,-0.147,-0.095,-0.093,-0.068,-0.053,-0.107,-0.092,-0.05,-0.101,-0.101,-0.1578,-0.0665,-0.0607,-0.098,-0.1521
PD4,-0.1776,-0.252,-0.276,-0.2703,-0.26374,-0.404,-0.307,-0.198,-0.373,-0.124,-0.166,-0.259,-0.36,-0.261,-0.254,-0.245,-0.3402,-0.2069,-0.187,-0.318,-0.2700
PD5,-0.222,-0.302,-0.335,-0.4064,-0.44399,-0.612,-0.354,-0.246,-0.51,-0.193,-0.207,-0.338,-0.415,-0.575,-0.406,-0.382,-0.4534,-0.2564,-0.2705,-0.414,-0.3666
AD1,-0.0376,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD2,-0.0752,-0.049,-0.078,-0.0259,-0.02046,-0.03,-0.08,-0.079,-0.08,-0.0781,-0.033,-0.072,-0.07,-0.018,-0.036,-0.081,-0.0637,-0.0581,-0.0095,-0.057,-0.0638
AD3,-0.1128,-0.118,-0.104,-0.0848,-0.04683,-0.082,-0.14,-0.134,-0.202,-0.1111,-0.046,-0.095,-0.145,-0.029,-0.085,-0.128,-0.1829,-0.0958,-0.0435,-0.123,-0.1126
AD4,-0.1504,-0.215,-0.285,-0.2987,-0.20005,-0.244,-0.293,-0.227,-0.535,-0.173,-0.102,-0.23,-0.356,-0.108,-0.212,-0.27,-0.3401,-0.2327,-0.1043,-0.299,-0.1713
AD5,-0.188,-0.258,-0.289,-0.4578,-0.25803,-0.356,-0.348,-0.305,-0.646,-0.1968,-0.137,-0.3,-0.421,-0.232,-0.284,-0.348,-0.4212,-0.2953,-0.1771,-0.321,-0.2388
MO45,-0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC45,-0.0584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA45,-0.1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD45,-0.1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD45,-0.1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Num45sq,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
